timestamp,id,ip,user_agent
2025-04-30 14:42:27,usuario1,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
2025-04-30 14:52:34,647d2b85-ffe7-4832-b318-c21f24d5f698,127.0.0.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0
